"Fries", "just fries, no french", 35.0, 984, 50, Food, Size, S, Meat, None, Taste, Salty, Spicy Level, Mild, "data\userTester01\shop\Fries.png", 2021-10-03T14:27:56.622663500
"Boiger", "meat burger", 199.0, 39, 10, Food, Size, XL, Meat, Beef, Taste, Hot, Spicy Level, Medium, "data\userTester01\shop\Boiger.png", 2021-10-03T14:28:21.363811400
"Grill Beef Steak", "Place the steaks on the grill and cook until golden brown and slightly charred, 4 to 5 minutes. Turn the steaks over and continue to grill 3 to 5 minutes for medium-rare (an internal temperature of 135 degrees F), 5 to 7 minutes for medium (140 degrees F) or 8 to 10 minutes for medium-well (150 degrees F).", 412.0, 100, 5, Food, Size, XL, Meat, Beef, Taste, Salty, Spicy Level, Hot, "data\userTester01\shop\Grill_Beef_Steak.png", 2021-10-14T12:00:30.438494100
"Mr. Bean's car", "green car", 199999.0, 0, 1, Car, Wheel, 4, Color, Green, Engine, Gas, "data\userTester02\shop\Mr._Bean's_car.png", 2021-10-03T14:29:24.363263700
"Cybertruck", "Cybertruck is designed to have the utility of a truck with sports car performance. Built to be durable, versatile, capable and high-performance both on-road and off-road.", 2320680.0, 100, 50, Car, Wheel, 4, Color, Grey, Engine, Electric, "data\elonmusk1988\shop\Cybertruck.png", 2021-10-14T11:30:34.219540
"Model S", "With the longest range and quickest acceleration of any electric vehicle in production, Model S Plaid is the highest performing sedan ever built.", 2987100.0, 10000, 1000, Car, Wheel, 4, Color, Grey, Engine, Electric, "data\elonmusk1988\shop\Model_S.png", 2021-10-14T11:32:15.315015200
"Roadster", "An all-electric vehicle, the Tesla Roadster is the quickest car in the world, with record-setting acceleration, range and performance. Reserve yours today.", 6640000.0, 50, 10, Car, Wheel, 4, Color, Red, Engine, Electric, "data\elonmusk1988\shop\Roadster.png", 2021-10-14T11:33:28.083986500
"NEW Honda Civic 2022", "The Diesel engine is 1597 cc while the Petrol engine is 1799 cc . It is available with Manual & Automatic transmission. Depending upon the variant and fuel type the Civic has a mileage of 16.5 to 26.8 kmpl . The Civic is a 5 seater 4 cylinder car and has length of 4656 mm, width of 1799 mm and a wheelbase of 2700 mm.", 964900.0, 50000, 100, Car, Wheel, 4, Color, Black, Engine, Gas, "data\johnbacon08\shop\NEW_Honda_Civic_2022.png", 2021-10-14T11:38:31.880622700
"Mazda 3 Hatchback", "The 2021 Mazda 3 hatchback continue to defy economy-car stereotypes with their affordable price and numerous luxury touches.", 969000.0, 1000, 500, Car, Wheel, 4, Color, Grey, Engine, Gas, "data\johnbacon08\shop\Mazda_3_Hatchback.png", 2021-10-14T11:41:30.740714100
"Mazda 6", "The 2021 Mazda 6 earned a five-star crash rating from the National Highway Traffic Safety Administration (NHTSA). The Insurance Institute for Highway Safety (IIHS) named the last version it evaluated a Top Safety Pick+. The sophisticated sedan also has some standard driver-assistance technology and can be equipped with i-Activsense, Mazda's suite of active safety stuff.", 1236000.0, 10000, 500, Car, Wheel, 4, Color, Blue, Engine, Gas, "data\johnbacon08\shop\Mazda_6.png", 2021-10-14T11:46:15.924958500
"2022 Toyota Prius", "Prius Prime offers the best of both worlds: impressive fuel economy and the flexibility of electric charging. Discover how much you can save with this plug-in hybridâ€™s ability to drive solely on electricity and seamlessly switch to hybrid mode when the charge runs out.", 1546300.0, 50000, 1000, Car, Wheel, 4, Color, Blue, Engine, Hybrid, "data\johnbacon08\shop\2022_Toyota_Prius.png", 2021-10-14T11:56:10.774287700
"2021 Toyota RAV4", "The RAV4 earned class-competitive fuel-economy estimates from the EPA. Front-wheel-drive RAV4s can manage up to an estimated 35 mpg on the highway.", 1049000.0, 100, 20, Car, Wheel, 4, Color, White, Engine, Hybrid, "data\johnbacon08\shop\2021_Toyota_RAV4.png", 2021-10-14T11:57:45.230590800
"Alvis Stalwart", "The Stalwart, formally classified by the British Army as Truck, High Mobility Load Carrier (HMLC), 5 Ton, 6 x 6, Alvis/Stalwart and informally known by servicemen as the Stolly, and by former RCT as the Stally, is a highly mobile amphibious military truck. Built by Alvis Cars between 1963 and 1971, these vehicles served with the British Army from 1964 until 1993.", 664000.0, 10, 5, Car, Wheel, 6, Color, Green, Engine, Gas, "data\scotty1234\shop\Alvis_Stalwart.png", 2021-10-14T11:49:44.659283700
"SHAMAN", "The Avtoros Shaman is a four cylinder diesel engine 8x8 all-terrain vehicle, built by Russian company", 4978500.0, 50, 25, Car, Wheel, 8, Color, Orange, Engine, Gas, "data\scotty1234\shop\SHAMAN.png", 2021-10-14T11:50:46.179739100
"BMW ISetta", "BMW Isetta 300 â€” In 1955, the BMW Isetta became the world's first mass-production car to achieve a fuel consumption of 3 L/100 km (94 mpgâ€‘imp; 78 mpgâ€‘US).", 1825450.0, 10, 3, Car, Wheel, 3, Color, Orange, Engine, Gas, "data\scotty1234\shop\BMW_ISetta.png", 2021-10-14T11:51:48.732400600
"TukTuk", "The auto rickshaw, called tuk-tuk (Thai: à¸•à¸¸à¹Šà¸? à¹†, pronounced [tÃºk tÃºk]) in Thailand, is a widely used form of urban transport in Bangkok and other Thai cities.", 250000.0, 1000, 100, Car, Wheel, 3, Color, Green, Engine, Gas, "data\scotty1234\shop\TukTuk.png", 2021-10-14T11:53:04.469770400
"Hennessey GOLIATH 6X6", "The base price for the 2019 â€“ 2021 GOLIATH 6X6 is $375,000, which includes a new Chevy Silverado truck. Production is limited to just 24 units and the vehicle is available for export to international markets. The HENNESSEY GOLIATH 6X6 is available directly from Hennessey or from select Chevrolet dealers.", 1.245E7, 10, 5, Car, Wheel, 6, Color, Red, Engine, Gas, "data\scotty1234\shop\Hennessey_GOLIATH_6X6.png", 2021-10-14T11:54:01.893514900
"TRAVIS SCOTT X MCDONALD'S JACK SMILE", "TRAVIS SCOTT X MCDONALD'S JACK SMILE II T-SHIRT MULTI", 5400.0, 100, 5, Clothe, Size, XL, Color, Black, "data\TravisScott\shop\TRAVIS_SCOTT_X_MCDONALD'S_JACK_SMILE.png", 2021-10-21T02:30:30.528999400
"NIKE AIR JORDAN 1 TRAVIS SCOTT", "NIKE AIR JORDAN 1 RETRO HIGH OG x TRAVIS SCOTT", 25000.0, 10, 2, Shoe, Brand, Nike, Color, Black, Size, 40, "data\TravisScott\shop\NIKE_AIR_JORDAN_1_TRAVIS_SCOTT.png", 2021-10-21T02:31:20.705263700
"Travis Scott X Mc.Donal Fries", "Travis Scott X Mc.Donal Fries ( If you use  code : cactus_jack you will get 10% discount of product when you purchase unless 5 things )", 50.0, 99990, 10, Food, Size, M, Meat, None, Taste, Salty, Spicy Level, Mild, "data\TravisScott\shop\Travis_Scott_X_Mc.Donal_Fries.png", 2021-10-21T02:34:40.160670100
"Butterfly Effect Car X Travis Scott", "Butterfly Effect Car by Travis Scott ( If you use astroworld you will get discount of product  1,000 Baht when you purchase unless 20,000 Baht )", 2.5E7, 1, 1, Car, Wheel, 4, Color, Black, Engine, Hybrid, "data\TravisScott\shop\Butterfly_Effect_Car_X_Travis_Scott.png", 2021-10-21T02:59:41.634528
"Travis Scott Cactus Jack Sweatshirt", "Travis Scott Cactus Jack Sweatshirt ( If you use  code : astroworld you will get discount of product  1,000 Baht when you purchase unless 20,000 Baht. )", 25000.0, 6, 5, Clothe, Size, M, Color, Black, "data\TravisScott\shop\Travis_Scott_Cactus_Jack_Sweatshirt.png", 2021-10-21T03:01:16.127842800
"Travis Scott Astroworld", "Travis Scott Astroworld Album If you use code : cactus_jack you will get 10% discount of product when you purchase 5 albums or more.", 3500.0, 100, 80, Music, Version, Album, Main Instrument, Drum, Genre, Hip-Hop, "data\TravisScott\shop\Travis_Scott_Astroworld.png", 2021-10-22T12:20:45.039351700
"Iphone 13 Pro Max", "Iphone 13 Pro Max Storage of 256 GB with a screen of AMOLED!!", 10000.0, 14, 5, Mobile, Brand, Apple, Storage, 256 GB, OS, iOS, Screen, AMOLED, "data\ITTech\shop\Iphone_13_Pro_Max.png", 2021-10-21T04:14:15.112970700
"Samsung Galaxy Note 10 Lite", "Samsung Galaxy Note 10 Lite comes with it's own pen! It's original pen! So if you lost the pen you can't buy anywhere else!!", 15000.0, 9, 3, Mobile, Brand, Samsung, Storage, 256 GB, OS, Android, Screen, AMOLED, "data\ITTech\shop\Samsung_Galaxy_Note_10_Lite.png", 2021-10-21T04:18:17.254753400
"Vivo V20", "Vivo V20 that made from China but sold in Thailand!", 8900.0, 8, 2, Mobile, Brand, Vivo, Storage, 256 GB, OS, Android, Screen, OLED, "data\ITTech\shop\Vivo_V20.png", 2021-10-21T04:29:31.647639800
"Vivo Y12A", "Vivo Y12A but Better!", 8999.0, 8, 2, Mobile, Brand, Vivo, Storage, 256 GB, OS, Android, Screen, OLED, "data\ITTech\shop\Vivo_Y12A.png", 2021-10-21T04:30:46.312077500
"Blackberry", "This is Blackberry. It is the only one Blackberry that still working. Buy it and use code -> ITTECH2021 for 25% discount!!", 12500.0, 1, 1, Mobile, Brand, Blackberry, Storage, 64 GB, OS, Linux, Screen, LCD, "data\ITTech\shop\Blackberry.png", 2021-10-21T13:55:11.960295900
"Samsung A32", "Samsung A32 comes with 3 camera and 1 flashlight. The screen is absolutely touch-screen!! use 25IT for buy 2 quantiy and get 25% discount!!", 10800.0, 19, 2, Mobile, Brand, Samsung, Storage, 128 GB, OS, Android, Screen, OLED, "data\ITTech\shop\Samsung_A32.png", 2021-10-21T13:57:51.037252
"Iphone11", "It just Iphone 11 but you can use code 50IT for 50% discount!!", 9800.0, 10, 2, Mobile, Brand, Apple, Storage, 128 GB, OS, iOS, Screen, OLED, "data\ITTech\shop\Iphone11.png", 2021-10-21T13:58:25.297483300
